GRAMCATSUBID,GRAMCATEN,GRAMSUBCATEN,map,question,GRAMCATGR,GRAMSUBCATGR,Mapping Value
Ad,Adverb,,http://www.lexinfo.net/ontology/3.0/lexinfo#adverb,,Επίρρημα,,
Aj,Adjective,,http://www.lexinfo.net/ontology/3.0/lexinfo#adjective,,Επίθετο,,
AsPp,Adposition,Preposition,http://www.lexinfo.net/ontology/3.0/lexinfo#preposition,,Θέση,Πρόθεση,
AtDf,Article,Definite,http://www.lexinfo.net/ontology/3.0/lexinfo#definiteArticle,,Άρθρο,Οριστικό,
AtId,Article,Indefinite,http://www.lexinfo.net/ontology/3.0/lexinfo#indefiniteArticle,,Άρθρο,Αόριστο,
CjCo,Conjunction,Coordinative,http://www.lexinfo.net/ontology/3.0/lexinfo#coordinatingConjunction,,Σύνδεσμος,Παρατακτικός,
CjSb,Conjunction,Subordinative,http://www.lexinfo.net/ontology/3.0/lexinfo#subordinatingConjunction,,Σύνδεσμος,Υποτακτικός,
Ij,Interjection,,http://www.lexinfo.net/ontology/3.0/lexinfo#interjection,,Επιφώνημα,,
NmAn,Numeral,Analog,,http://www.lexinfo.net/ontology/3.0/lexinfo#numeral ??,Αριθμητικό,Αναλογικό,
NmCd,Numeral,Cardinal,http://www.lexinfo.net/ontology/3.0/lexinfo#cardinalNumeral,,Αριθμητικό,Απόλυτο,
NmCt,Numeral,Collective,,,Αριθμητικό,Περιληπτικό,
NmMl,Numeral,Multiplicative,http://www.lexinfo.net/ontology/3.0/lexinfo#multiplicativeNumeral,,Αριθμητικό,Πολλαπλασιαστικό,
NmOd,Numeral,Ordinal,,,Αριθμητικό,Τακτικό,
NoCm,Noun,Common,http://www.lexinfo.net/ontology/3.0/lexinfo#commonNoun,,Ουσιαστικό,Κοινό,
NoPr,Noun,Proper,http://www.lexinfo.net/ontology/3.0/lexinfo#properNoun,,Ουσιαστικό,Κύριο,
PnDf,Pronoun,Definite,,http://www.lexinfo.net/ontology/3.0/lexinfo#pronoun,Αντωνυμία,Οριστική,
PnDm,Pronoun,Demonstrative,http://www.lexinfo.net/ontology/3.0/lexinfo#demonstrativePronoun,,Αντωνυμία,Δεικτική,
PnId,Pronoun,Indefinite,http://www.lexinfo.net/ontology/3.0/lexinfo#indefinitePronoun,,Αντωνυμία,Αόριστη,
PnIr,Pronoun,Interrogative,http://www.lexinfo.net/ontology/3.0/lexinfo#interrogativePronoun,,Αντωνυμία,Ερωτηματική,
PnPe,Pronoun,Personal,http://www.lexinfo.net/ontology/3.0/lexinfo#personalPronoun,,Αντωνυμία,Προσωπική,
PnPo,Pronoun,Possessive,http://www.lexinfo.net/ontology/3.0/lexinfo#possessivePronoun,,Αντωνυμία,Κτητική,
PnRe,Pronoun,Relative,http://www.lexinfo.net/ontology/3.0/lexinfo#relativePronoun,,Αντωνυμία,Αναφορική,
PnRf,Pronoun,Reflexive,http://www.lexinfo.net/ontology/3.0/lexinfo#reflexivePersonalPronoun,http://www.lexinfo.net/ontology/3.0/lexinfo#reflexivePersonalPronoun or http://www.lexinfo.net/ontology/3.0/lexinfo#irreflexivePersonalPronoun,Αντωνυμία,Αυτοπαθής,
PnRi,Pronoun,Relindef,http://www.lexinfo.net/ontology/3.0/lexinfo#irreflexivePersonalPronoun,http://www.lexinfo.net/ontology/3.0/lexinfo#reflexivePersonalPronoun or http://www.lexinfo.net/ontology/3.0/lexinfo#irreflexivePersonalPronoun,Αντωνυμία,Αναφορικοαόριστη,
PtFu,Unique,Future,http://www.lexinfo.net/ontology/3.0/lexinfo#futureParticle,,Μόριο,Μελλοντικό,
PtNg,Unique,Negation,http://www.lexinfo.net/ontology/3.0/lexinfo#negativeParticle,,Μόριο,Αρνητικό,
PtOt,Unique,Other,http://www.lexinfo.net/ontology/3.0/lexinfo#particle,or http://www.lexinfo.net/ontology/3.0/lexinfo#unclassifiedParticle,Μόριο,Άλλο,
PtSj,Unique,Subjunction,,,Μόριο,Υποτακτικό,
RgAb,Residual,Abbreviation,,,Λοιπά,Σύντμηση,
RgAn,Residual,Acronym,,,Λοιπά,Ακρωνύμιο,
RgFw,Residual,For_word,,,Λοιπά,Ξένη_λέξη,
RgSy,Residual,Symbol,http://www.lexinfo.net/ontology/3.0/lexinfo#symbol,,Λοιπά,Σύμβολο,
VbIs,Verb,Impersonal,,http://www.lexinfo.net/ontology/3.0/lexinfo#verb,Ρήμα,Απρόσωπο,
VbMn,Verb,Main,http://www.lexinfo.net/ontology/3.0/lexinfo#mainVerb,,Ρήμα,Προσωπικό,
